"Rk","Player","Nation","Pos","Squad","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G_plus_A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG_plus_xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_90","Ast_Per_90","G_plus_A_Per_90","G_minus_PK_Per_90","G_plus_A_minus_PK_Per_90","xG_Per_90","xAG_Per_90","xG_plus_xAG_Per_90","npxG_Per_90","npxG_plus_xAG_Per_90","Market_Value_Euro","Year"
277,"Alexis Mac Allister","ar ARG","MF,FW","Brighton",20,1998,9,4,352,3.9,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.7,2,6,13,0,0,0,0,0,0.12,0.07,0.19,0.12,0.19,1e+07,2020
278,"James Maddison","eng ENG","MF","Leicester City",22,1996,31,29,2624,29.2,6,3,9,6,0,0,4,0,5.3,5.3,6.4,11.8,53,192,138,0.21,0.1,0.31,0.21,0.31,0.18,0.22,0.4,0.18,0.4,5.5e+07,2020
279,"Harry Maguire","eng ENG","DF","Manchester Utd",26,1993,38,38,3420,38,1,1,2,1,0,0,6,0,2.1,2.1,1.4,3.4,69,171,10,0.03,0.03,0.05,0.03,0.05,0.06,0.04,0.09,0.05,0.09,4.5e+07,2020
280,"Riyad Mahrez","dz ALG","FW,MF","Manchester City",28,1991,33,21,1944,21.6,11,9,20,10,1,1,0,0,7.8,7,10,17,118,120,246,0.51,0.42,0.93,0.46,0.88,0.36,0.46,0.83,0.33,0.79,4.2e+07,2020
281,"Ainsley Maitland-Niles","eng ENG","DF","Arsenal",21,1997,20,15,1386,15.4,0,2,2,0,0,0,6,1,0.4,0.4,1.5,2,38,61,34,0,0.13,0.13,0,0.13,0.03,0.1,0.13,0.03,0.13,1.6e+07,2020
281,"Ainsley Maitland-Niles","eng ENG","DF","Arsenal",21,1997,20,15,1386,15.4,0,2,2,0,0,0,6,1,0.4,0.4,1.5,2,38,61,34,0,0.13,0.13,0,0.13,0.03,0.1,0.13,0.03,0.13,1.6e+07,2020
282,"Sadio Mané","sn SEN","FW","Liverpool",27,1992,35,31,2747,30.5,18,7,25,18,0,0,3,0,13.2,13.2,6.6,19.8,159,128,286,0.59,0.23,0.82,0.59,0.82,0.43,0.22,0.65,0.43,0.65,8.5e+07,2020
283,"Javier Manquillo","es ESP","DF","Newcastle Utd",25,1994,21,18,1599,17.8,0,1,1,0,0,0,5,0,0,0,0.2,0.3,22,28,49,0,0.06,0.06,0,0.06,0,0.01,0.02,0,0.02,3e+06,2020
284,"Solly March","eng ENG","FW,MF","Brighton",25,1994,19,11,1143,12.7,0,1,1,0,0,0,2,0,1.4,1.4,0.9,2.3,50,55,112,0,0.08,0.08,0,0.08,0.11,0.07,0.18,0.11,0.18,9e+06,2020
285,"Pablo Marí","es ESP","DF","Arsenal",25,1993,2,2,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7e+06,2020
287,"Anthony Martial","fr FRA","FW","Manchester Utd",23,1995,32,31,2624,29.2,17,6,23,17,0,1,1,0,12.1,11.3,4.4,15.7,76,82,275,0.58,0.21,0.79,0.58,0.79,0.41,0.15,0.56,0.39,0.54,4.5e+07,2020
288,"David Martin","eng ENG","GK","West Ham",33,1986,5,4,436,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,2020
290,"Gabriel Martinelli","br BRA","FW","Arsenal",18,2001,14,6,663,7.4,3,0,3,3,0,0,1,0,2.2,2.2,0.1,2.3,31,12,65,0.41,0,0.41,0.41,0.41,0.29,0.01,0.31,0.29,0.31,2.2e+07,2020
291,"Emiliano Martínez","ar ARG","GK","Arsenal",26,1992,9,8,771,8.6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e+07,2020
291,"Emiliano Martínez","ar ARG","GK","Arsenal",26,1992,9,8,771,8.6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e+07,2020
293,"Arthur Masuaku","cd COD","DF","West Ham",25,1993,17,10,937,10.4,0,1,1,0,0,0,6,1,0.1,0.1,1.2,1.3,41,40,37,0,0.1,0.1,0,0.1,0.01,0.11,0.13,0.01,0.13,7e+06,2020
294,"Juan Mata","es ESP","MF,FW","Manchester Utd",31,1988,19,8,758,8.4,0,2,2,0,0,0,1,0,1.1,1.1,2.1,3.2,17,64,65,0,0.24,0.24,0,0.24,0.13,0.25,0.38,0.13,0.38,4e+06,2020
297,"Neal Maupay","fr FRA","FW","Brighton",22,1996,37,30,2766,30.7,10,3,13,9,1,2,3,0,13.4,11.8,2.1,13.9,63,66,255,0.33,0.1,0.42,0.29,0.39,0.44,0.07,0.5,0.38,0.45,2e+07,2020
298,"James McArthur","sct SCO","MF","Crystal Palace",31,1987,37,37,3090,34.3,0,3,3,0,0,0,6,0,2,2,2.4,4.4,54,174,123,0,0.09,0.09,0,0.09,0.06,0.07,0.13,0.06,0.13,2e+06,2020
300,"Alex McCarthy","eng ENG","GK","Southampton",29,1989,28,28,2520,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5e+06,2020
301,"James McCarthy","ie IRL","MF","Crystal Palace",28,1990,33,16,1680,18.7,0,0,0,0,0,0,9,0,0.5,0.5,1.3,1.8,8,55,23,0,0,0,0,0,0.03,0.07,0.1,0.03,0.1,3e+06,2020
302,"John McGinn","sct SCO","MF","Aston Villa",24,1994,28,27,2312,25.7,3,3,6,3,0,0,3,0,3.9,3.9,2.5,6.4,38,113,84,0.12,0.12,0.23,0.12,0.23,0.15,0.1,0.25,0.15,0.25,3e+07,2020
303,"David McGoldrick","ie IRL","FW","Sheffield Utd",31,1987,28,22,1815,20.2,2,2,4,2,0,0,2,0,8,8,2.3,10.3,29,43,129,0.1,0.1,0.2,0.1,0.2,0.4,0.12,0.51,0.4,0.51,1500000,2020
306,"Dwight McNeil","eng ENG","MF","Burnley",19,1999,38,38,3338,37.1,2,6,8,2,0,0,5,0,2.3,2.3,7.7,10,146,97,109,0.05,0.16,0.22,0.05,0.22,0.06,0.21,0.27,0.06,0.27,2.2e+07,2020
307,"Scott McTominay","sct SCO","MF","Manchester Utd",22,1996,27,20,1772,19.7,4,1,5,4,0,0,2,0,2.2,2.2,1,3.2,25,95,27,0.2,0.05,0.25,0.2,0.25,0.11,0.05,0.16,0.11,0.16,3.5e+07,2020
308,"Ben Mee","eng ENG","DF","Burnley",29,1989,32,32,2880,32,1,1,2,1,0,0,7,0,1.7,1.7,1.6,3.2,5,56,5,0.03,0.03,0.06,0.03,0.06,0.05,0.05,0.1,0.05,0.1,6e+06,2020
