"Rk","player_name","Nation","Pos","Squad","Age","Born","MP_Playing Time","Starts_Playing Time","Min_Playing Time","Mins_Per_90_Playing Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per 90 Minutes","Ast_Per 90 Minutes","G+A_Per 90 Minutes","G_minus_PK_Per 90 Minutes","G+A_minus_PK_Per 90 Minutes","xG_Per 90 Minutes","xAG_Per 90 Minutes","xG+xAG_Per 90 Minutes","npxG_Per 90 Minutes","npxG+xAG_Per 90 Minutes","market_value_euro"
59,"Sander Berge","no NOR","MF","Sheffield Utd",22,1998,15,13,1120,12.4,1,1,2,0,1,1,4,0,1.2,0.4,1.1,1.6,39,39,33,0.08,0.08,0.16,0,0.08,0.1,0.09,0.19,0.04,0.13,NA
60,"Steven Bergwijn","nl NED","FW,MF","Tottenham",22,1997,21,13,1208,13.4,1,3,4,1,0,0,3,0,2,2,0.9,2.9,32,25,83,0.07,0.22,0.3,0.07,0.3,0.15,0.06,0.21,0.15,0.21,1.8e+07
61,"Bernard","br BRA","MF,FW","Everton",27,1992,12,3,455,5.1,1,0,1,1,0,0,2,0,0.3,0.3,0.6,0.8,13,37,42,0.2,0,0.2,0.2,0.2,0.05,0.11,0.16,0.05,0.16,NA
62,"Bernardo","br BRA","DF,MF","Brighton",25,1995,3,2,206,2.3,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,2,9,15,0,0,0,0,0,0.16,0.06,0.22,0.16,0.22,NA
63,"Ryan Bertrand","eng ENG","DF","Southampton",30,1989,29,29,2598,28.9,0,1,1,0,0,0,5,0,0.4,0.4,1.3,1.6,46,101,120,0,0.03,0.03,0,0.03,0.01,0.04,0.06,0.01,0.06,3e+06
64,"Yves Bissouma","ml MLI","MF","Brighton",23,1996,36,35,3111,34.6,1,0,1,1,0,0,8,1,1.4,1.4,0.9,2.3,55,146,26,0.03,0,0.03,0.03,0.03,0.04,0.03,0.07,0.04,0.07,3.5e+07
65,"Jayden Bogle","eng ENG","DF,MF","Sheffield Utd",20,2000,16,12,1110,12.3,2,0,2,2,0,0,2,0,1.9,1.9,0.2,2.2,11,24,61,0.16,0,0.16,0.16,0.16,0.16,0.02,0.17,0.16,0.17,NA
66,"Willy Boly","ci CIV","DF","Wolves",29,1991,21,21,1879,20.9,1,1,2,1,0,0,2,0,1.1,1.1,0.3,1.4,5,44,1,0.05,0.05,0.1,0.05,0.1,0.05,0.01,0.06,0.05,0.06,6e+06
67,"Jarrod Bowen","eng ENG","FW,MF","West Ham",23,1996,38,30,2562,28.5,8,5,13,8,0,0,0,0,7.1,7.1,5,12,83,44,165,0.28,0.18,0.46,0.28,0.46,0.25,0.17,0.42,0.25,0.42,4.2e+07
68,"Robbie Brady","ie IRL","MF","Burnley",28,1992,19,12,1052,11.7,1,1,2,1,0,0,3,0,0.8,0.8,0.9,1.7,14,26,40,0.09,0.09,0.17,0.09,0.17,0.07,0.08,0.15,0.07,0.15,NA
69,"Rhian Brewster","eng ENG","FW,MF","Sheffield Utd",20,2000,27,12,1128,12.5,0,0,0,0,0,0,1,0,1.8,1.8,1.6,3.4,11,20,48,0,0,0,0,0,0.14,0.13,0.27,0.14,0.27,NA
70,"Nathan Broadhead","wls WAL","FW","Everton",22,1998,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e+05
71,"Josh Brownhill","eng ENG","MF","Burnley",24,1995,33,32,2813,31.3,0,1,1,0,0,0,2,0,1.9,1.9,0.7,2.6,22,83,69,0,0.03,0.03,0,0.03,0.06,0.02,0.08,0.06,0.08,7e+06
